Year,"Agricultural, Forestry and Fishing",Mining and quarrying,Manufacturing,Construction,"Gas, electricity and water","Transport, storage information and communication",Retail and wholesale distribution,"Insurance, banking and finance",Public Administration and Defence,Professional scientific and technical services (including education and health),Miscellaneous services including hotels and catering 
Units,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands,Thousands
1861,3224.922063,448.92381,3939.535475,503.8940724,22.90427602,540.540914,778.7454,18.3234,412.277,306.9173,1795.6952
1871,2992.083979,546.6307269,4507.305994,632.9408417,28.77003826,728.8409692,1006.9513,38.3601,402.7805,374.0105,2215.2929
1881,2690.874645,639.788377,4629.057081,780.9181661,37.63461041,809.1441239,1223.1248,65.8606,432.798,498.6586,2361.5718
1891,2492.258264,796.0064418,5230.899475,796.0064418,56.85760298,1051.865655,1554.1078,104.2389,521.1947,568.576,2615.4497
1901,2278.063189,960.1753935,5638.677066,1026.069783,94.1348425,1364.955216,1873.2834,141.2023,828.3866,677.7709,2701.67
1911,2262.451032,1216.06743,6174.605942,970.9685679,113.1225516,1489.446929,2319.0123,216.8182,791.8579,782.431,2884.6251
1920,1664.040511,1392.336647,5876.928262,1193.304674,222.8786679,2327.487401,2886.9052,318.3571,1464.4443,1068.1088,2928.1997
1921,1595.223213,1271.492334,4618.867731,1143.100917,222.8786679,2189.908926,2686.8348,288.1606,1179.3127,1079.4852,2555.6108
1922,1548.389218,1260.984133,4832.485268,1040.118853,222.8786679,2133.175534,2692.9719,297.6509,1037.7952,1094.6536,2635.072
1923,1501.555223,1345.049742,4959.677389,1069.726196,228.9024157,2172.888909,2699.109,311.455,982.2364,1097.1816,2671.2976
1924,1512.068977,1360.812044,5044.472136,1110.919022,233.7214139,2205.510609,2713.8382,318.3571,984.333,1108.5579,2732.5066
1925,1506.334202,1266.238234,5077.085501,1189.442846,239.7451617,2209.765613,2847.6276,328.7101,994.8158,1124.9904,2761.1638
1926,1483.395103,1265.187414,4936.0327,1222.912017,246.9736591,2215.438953,2953.1862,339.926,1005.2986,1136.3667,2746.4596
