Year,GDP,Hours,Wages,CPI,Bank rate
Year,Real GDP of England,Average weekly hours worked,Average weekly earnings,Consumer price index,Bank rate
Units,"£mn 2013, CV measure",Hours,£ 2013,2015=100,%
1209,,,0.03,0.08,
1210,,,0.03,0.08,
1211,,,0.03,0.09,
1212,,,0.03,0.08,
1213,,,0.04,0.08,
1214,,,0.04,0.08,
1215,,,0.04,0.08,
1216,,,0.03,0.09,
1217,,,0.03,0.1,
1218,,,0.03,0.12,
1219,,,0.04,0.11,
1220,,,0.03,0.1,
1221,,,0.03,0.11,
1222,,,0.03,0.09,
1223,,,0.04,0.08,
1224,,,0.04,0.09,
1225,,,0.03,0.13,
1226,,,0.03,0.12,
1227,,,0.03,0.12,
1228,,,0.03,0.12,
1229,,,0.03,0.12,
1230,,,0.03,0.11,
1231,,,0.03,0.11,
1232,,,0.03,0.11,
1233,,,0.03,0.1,
1234,,,0.03,0.1,
1235,,,0.03,0.1,
1236,,,0.03,0.1,
1237,,,0.03,0.11,
1238,,,0.03,0.11,
1239,,,0.03,0.11,
1240,,,0.03,0.1,
1241,,,0.03,0.1,
1242,,,0.03,0.1,
1243,,,0.03,0.09,
1244,,,0.03,0.09,
1245,,,0.03,0.09,
1246,,,0.03,0.1,
1247,,,0.03,0.14,
1248,,,0.03,0.13,
1249,,,0.03,0.1,
1250,,,0.03,0.11,
1251,,,0.03,0.1,
1252,,,0.03,0.1,
1253,,,0.03,0.12,
1254,,,0.03,0.09,
1255,,,0.03,0.09,
1256,,,0.04,0.12,
1257,,,0.03,0.14,
1258,,,0.03,0.14,
1259,,,0.04,0.13,
1260,,45.38,0.04,0.12,
1261,,45.34,0.03,0.12,
1262,,45.31,0.04,0.12,
1263,,45.27,0.04,0.11,
1264,,45.23,0.03,0.11,
1265,,45.2,0.03,0.12,
1266,,45.17,0.03,0.12,
1267,,45.13,0.03,0.13,
1268,,45.1,0.03,0.11,
1269,,45.07,0.03,0.13,
1270,3518,45.04,0.03,0.13,
1271,3481,45.01,0.03,0.16,
1272,3612,44.99,0.03,0.17,
1273,3407,44.96,0.03,0.14,
1274,3394,44.93,0.03,0.16,
1275,3880,44.91,0.03,0.16,
1276,3414,44.89,0.03,0.14,
1277,3646,44.86,0.03,0.16,
1278,3780,44.84,0.03,0.14,
1279,3137,44.82,0.03,0.13,
1280,3187,44.57,0.03,0.14,
1281,3390,44.57,0.03,0.13,
1282,3290,44.58,0.03,0.15,
1283,3130,44.6,0.03,0.15,
1284,3239,44.64,0.03,0.15,
1285,3283,44.7,0.03,0.12,
1286,3238,44.77,0.03,0.13,
1287,3547,44.85,0.03,0.12,
1288,3441,44.95,0.03,0.1,
1289,3178,45.06,0.03,0.11,
1290,3225,45.56,0.03,0.12,
1291,3231,45.68,0.03,0.15,
1292,3403,45.79,0.03,0.14,
1293,3483,45.9,0.03,0.14,
1294,3457,45.99,0.03,0.16,
1295,3702,46.08,0.03,0.17,
1296,3850,46.17,0.03,0.16,
1297,3683,46.24,0.03,0.14,
1298,3874,46.31,0.03,0.15,
1299,3731,46.37,0.03,0.15,
1300,3705,45.52,0.03,0.15,
1301,3731,45.61,0.03,0.14,
1302,3828,45.76,0.03,0.14,
1303,3986,45.95,0.03,0.13,
1304,3606,46.19,0.03,0.12,
1305,3706,46.48,0.03,0.14,
1306,3598,46.81,0.03,0.14,
1307,3772,47.19,0.03,0.13,
1308,3816,47.62,0.03,0.15,
1309,3910,48.1,0.03,0.17,
1310,3858,50.93,0.03,0.18,
1311,3994,51.36,0.03,0.18,
1312,3888,51.69,0.03,0.15,
1313,3957,51.94,0.03,0.15,
1314,3957,52.09,0.03,0.16,
1315,3556,52.14,0.03,0.17,
1316,3356,52.1,0.03,0.24,
1317,3511,51.97,0.04,0.24,
1318,3873,51.75,0.03,0.18,
1319,3890,51.43,0.03,0.14,
1320,3762,50.05,0.04,0.15,
1321,3181,49.6,0.04,0.16,
1322,3347,49.12,0.04,0.22,
1323,3472,48.61,0.03,0.19,
1324,3163,48.06,0.04,0.16,
1325,3423,47.48,0.03,0.17,
1326,3488,46.86,0.03,0.15,
