Region,North and North East Europe,North and North East Europe,Western Europe,Western Europe,Central and South East Europe,Central and South East Europe,Southern Europe and North Africa,Southern Europe and North Africa,Europe + North Africa total,Europe + North Africa total,Turkey and Middle East,Turkey and Middle East,Remainder of Africa,Remainder of Africa,Asia,Asia,West Indies,West Indies,Central and South America,Central and South America,Australia+New Zealand,Australia+New Zealand,North America (USA+Canada),North America (USA+Canada)
Year,Imports,Exports ,Imports,Exports,Imports,Exports,Imports,Exports,Imports,Exports,Imports,Exports,Imports,Exports,Imports,Exports,Imports,Exports,Imports,Exports,Imports,Exports,Imports,Exports
1854,10.9,2.2,21,16.6,17.6,15,9,7.4,58.5,41.2,5.7,4.9,4.8,2.9,23,12.6,7.6,4,11.3,8.7,4.3,13.4,36.9,28.6
1855,7.7,2.5,18.2,21.5,17.4,16.4,9.4,8.3,52.7,48.7,6.1,8.6,5.1,3,24.3,13.6,6.5,3.4,12.2,9.8,4.5,7.2,30.4,21.2
1856,17.2,6.3,20.8,22.6,12.1,18.4,10.8,10.6,60.9,57.9,8.3,7.2,6.2,3.4,29.8,16,7,3.4,11.5,11,5.7,11.7,42.9,27
1857,19.1,7.3,22.6,24.1,14.7,19.6,9.6,10.3,66,61.3,10.3,6,6.6,4.4,33.8,17.5,8.9,4.3,16,13.1,6,13.2,40,24.8
1858,16.6,7.1,22.6,21.7,9.6,18.6,8.4,11,57.2,58.4,8.9,7.5,5.6,4,25.5,23.3,8.9,4,13.8,10.5,5.3,11.6,39,19.2
1859,19.8,8.7,27.1,21.4,11.5,17.3,9.8,10.5,68.2,57.9,11.4,7.3,5.5,4.2,27.5,29.4,7.7,3.8,12.1,10.7,5.8,12.5,39.8,28.4
1860,23.3,7.9,30.1,26.4,16.4,20.4,12.5,13,82.3,67.7,13.6,7.9,5.9,4.7,28.5,27,7.9,4.1,13,13.7,6.4,10.6,51.5,26.9
1861,17.8,8.5,29.3,33.2,16.5,21.4,10.7,15.2,74.3,78.3,12.1,6.4,5.7,4.6,36.9,25.5,8.9,3.8,13.8,12.5,6.9,11.6,58.1,15.2
1862,20.3,6.3,34.4,37,16.9,21.6,10.3,14.4,81.9,79.3,16.6,7.1,5,4.6,52.1,21.6,9.1,5.1,16.2,9.8,7.1,12.9,36.2,24
1863,18.5,8.2,37.9,41,15.9,24.9,11.5,17.8,83.8,91.9,21.9,11.6,6,3.9,69.6,29,11,5.9,18.6,13.2,7.1,13.6,27.8,25.2
1864,21.5,9.8,43.7,43.9,16.4,26.3,11.9,16.4,93.5,96.4,25.5,13.9,5.5,4.7,74.9,30.1,13.9,6.7,23.1,18.5,10,13,24.8,26.5
1865,25.3,10.2,51.4,47.2,17.6,29.2,12,15.4,106.3,102,27.3,13.5,6.2,4.1,56.7,29.9,10.6,5.6,24.8,17.4,9.3,13.1,28,30.9
1866,27.5,11.1,56.7,48.2,20.9,26.4,13.4,15.7,118.5,101.4,20.8,15.8,6.9,4.1,54.5,35.7,8,6,20.9,20.9,11.5,14.7,53.8,38.5
1867,31.4,11.3,52.1,45.4,20.6,31.5,13.2,13.8,117.3,102,19.7,15.4,6.6,4.7,40.8,37.6,9.1,5.3,20.4,19.1,12.9,10.3,47.8,30.8
1868,28.7,11.1,53.5,48.6,21.6,34.2,14.5,13.4,118.3,107.3,23.8,14.1,7.2,4.4,49.8,36.6,10,5.5,22.4,16.6,11.6,13.1,49.9,29.4
